iter:152/500; best_distance:10127.552143541274;
iter:153/500; best_distance:10127.552143541274;
iter:154/500; best_distance:10127.552143541274;
iter:155/500; best_distance:10127.552143541274;
iter:156/500; best_distance:10127.552143541274;
iter:157/500; best_distance:10127.552143541274;
iter:158/500; best_distance:10127.552143541274;
iter:159/500; best_distance:10127.552143541274;
iter:160/500; best_distance:10127.552143541274;
iter:161/500; best_distance:10127.552143541274;
iter:162/500; best_distance:10127.552143541274;
iter:163/500; best_distance:10127.552143541274;
iter:164/500; best_distance:10127.552143541274;
iter:165/500; best_distance:10127.552143541274;
iter:166/500; best_distance:10127.552143541274;
iter:167/500; best_distance:10127.552143541274;
iter:168/500; best_distance:10127.552143541274;
iter:169/500; best_distance:10127.552143541274;
iter:170/500; best_distance:10127.552143541274;
iter:171/500; best_distance:10127.552143541274;
iter:172/500; best_distance:10127.552143541274;
iter:173/500; best_distance:10127.552143541274;
iter:174/500; best_distance:10127.552143541274;
iter:175/500; best_distance:10127.552143541274;
iter:176/500; best_distance:10127.552143541274;
iter:177/500; best_distance:10127.552143541274;
iter:178/500; best_distance:10127.552143541274;
iter:179/500; best_distance:10127.552143541274;
iter:180/500; best_distance:10127.552143541274;
iter:181/500; best_distance:10127.552143541274;
iter:182/500; best_distance:10127.552143541274;
iter:183/500; best_distance:10127.552143541274;
iter:184/500; best_distance:10127.552143541274;
iter:185/500; best_distance:10127.552143541274;
iter:186/500; best_distance:10127.552143541274;
iter:187/500; best_distance:10127.552143541274;
iter:188/500; best_distance:10127.552143541274;
iter:189/500; best_distance:10127.552143541274;
iter:190/500; best_distance:10127.552143541274;
iter:191/500; best_distance:10127.552143541274;
iter:192/500; best_distance:10127.552143541274;
iter:193/500; best_distance:10127.552143541274;
iter:194/500; best_distance:10127.552143541274;
iter:195/500; best_distance:10127.552143541274;
iter:196/500; best_distance:10127.552143541274;
iter:197/500; best_distance:10127.552143541274;
iter:198/500; best_distance:10127.552143541274;
iter:199/500; best_distance:10127.552143541274;
iter:200/500; best_distance:10127.552143541274;
iter:201/500; best_distance:10127.552143541274;
iter:202/500; best_distance:10127.552143541274;
iter:203/500; best_distance:10127.552143541274;
iter:204/500; best_distance:10127.552143541274;
iter:205/500; best_distance:10127.552143541274;
iter:206/500; best_distance:10127.552143541274;
iter:207/500; best_distance:10127.552143541274;
iter:208/500; best_distance:10127.552143541274;
iter:209/500; best_distance:10127.552143541274;
iter:210/500; best_distance:10127.552143541274;
iter:211/500; best_distance:10127.552143541274;
iter:212/500; best_distance:10127.552143541274;
iter:213/500; best_distance:10127.552143541274;
iter:214/500; best_distance:10127.552143541274;
iter:215/500; best_distance:10127.552143541274;
iter:216/500; best_distance:10127.552143541274;
iter:217/500; best_distance:10127.552143541274;
iter:218/500; best_distance:10127.552143541274;
iter:219/500; best_distance:10127.552143541274;
iter:220/500; best_distance:10127.552143541274;
iter:221/500; best_distance:10127.552143541274;
iter:222/500; best_distance:10127.552143541274;
iter:223/500; best_distance:10127.552143541274;
iter:224/500; best_distance:10127.552143541274;
iter:225/500; best_distance:10127.552143541274;
iter:226/500; best_distance:10127.552143541274;
iter:227/500; best_distance:10127.552143541274;
iter:228/500; best_distance:10127.552143541274;
iter:229/500; best_distance:10127.552143541274;
iter:230/500; best_distance:10127.552143541274;
iter:231/500; best_distance:10127.552143541274;
iter:232/500; best_distance:10127.552143541274;
iter:233/500; best_distance:10127.552143541274;
iter:234/500; best_distance:10127.552143541274;
iter:235/500; best_distance:10127.552143541274;
iter:236/500; best_distance:10127.552143541274;
iter:237/500; best_distance:10127.552143541274;
iter:238/500; best_distance:10127.552143541274;
iter:239/500; best_distance:10127.552143541274;
iter:240/500; best_distance:10127.552143541274;
iter:241/500; best_distance:10127.552143541274;
iter:242/500; best_distance:10127.552143541274;
iter:243/500; best_distance:10127.552143541274;
iter:244/500; best_distance:10127.552143541274;
iter:245/500; best_distance:10127.552143541274;
iter:246/500; best_distance:10127.552143541274;
iter:247/500; best_distance:10127.552143541274;
iter:248/500; best_distance:10127.552143541274;
iter:249/500; best_distance:10127.552143541274;
iter:250/500; best_distance:10127.552143541274;
iter:251/500; best_distance:10127.552143541274;
iter:252/500; best_distance:10127.552143541274;
iter:253/500; best_distance:10127.552143541274;
iter:254/500; best_distance:10127.552143541274;
iter:255/500; best_distance:10127.552143541274;
iter:256/500; best_distance:10127.552143541274;
iter:257/500; best_distance:10127.552143541274;
iter:258/500; best_distance:10127.552143541274;
iter:259/500; best_distance:10127.552143541274;
iter:260/500; best_distance:10127.552143541274;
iter:261/500; best_distance:10127.552143541274;
iter:262/500; best_distance:10127.552143541274;
iter:263/500; best_distance:10127.552143541274;
iter:264/500; best_distance:10127.552143541274;
