avg_reward,global_step
3.196656964379397,100.0
3.192742143079468,200.0
3.1714773692887284,300.0
3.159298914099025,400.0
3.129694242530837,500.0
3.0963795203121234,600.0
3.08169455583356,700.0
3.0734982061431086,800.0
3.060731846057924,900.0
3.0561745531425886,1000.0
3.0530011370134433,1100.0
3.045674614295537,1200.0
3.0483313016924387,1300.0
3.042426068862009,1400.0
3.049347829937019,1500.0
3.0536666542429125,1600.0
3.040346386103104,1700.0
3.0514052697584986,1800.0
3.0443385298370145,1900.0
3.047040112158409,2000.0
3.0464726428952984,2100.0
3.0478061470015168,2200.0
3.0510493836331998,2300.0
3.045345448970948,2400.0
3.0500243837716194,2500.0
3.05466115816866,2600.0
3.05186985989308,2700.0
3.0527103128898507,2800.0
3.048361190763871,2900.0
3.054215172170932,3000.0
3.050586782945865,3100.0
3.048443252895016,3200.0
3.0529699045515533,3300.0
3.0616957790916848,3400.0
3.049889503515996,3500.0
